BSSID,Network Name,Vendor,Annotations,Signal (%),Channel,Channel Width,Band,Mode,Generation,Security,Max Rate (Mbps),Seen
92:2A:A8:82:E5:C2,⁣⁣Hidden Network⁣⁣,Ubiquiti Networks,,86,140,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1300,2025/11/16 09:52:56 AM
9A:2A:A8:82:E5:C2,guest,Ubiquiti Networks,,87,140,80 MHz,5 GHz,a/n/ac,5,,1300,2025/11/16 09:52:56 AM
6C:BA:B8:FC:81:F8,ATLANTA Newbery,Sagemcom Broadband,,66,11,20 MHz,2.4 GHz,b/g/n,4,WPA/WPA2 (PSK),288.9,2025/11/16 09:52:56 AM
80:2A:A8:82:E5:C2,cachapa,Ubiquiti Networks,,87,140,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1300,2025/11/16 09:52:56 AM
5E:76:95:4E:B7:4C,Personal Wifi Zone,Vantiva,,40,1,20 MHz,2.4 GHz,b/g/n,4,,216.7,2025/11/16 09:51:10 AM
5A:68:7A:76:9C:F1,TeleCentro Wifi,Sagemcom Broadband,,40,10,20 MHz,2.4 GHz,b/g/n/ax,6,,430.1,2025/11/16 09:47:52 AM
F2:C4:78:73:C3:60,Vero,Huawei,,38,6,20 MHz,2.4 GHz,b/g/n/ax,6,WPA2 (PSK),286.8,2025/11/16 09:52:56 AM
28:9E:FC:02:2E:FD,TeleCentro-2ef7-5G,Sagemcom Broadband,,8,149,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1733.3,2025/11/16 09:52:56 AM
2A:9E:FC:02:2F:FE,⁣⁣Hidden Network⁣⁣,Sagemcom Broadband,,10,149,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1733.3,2025/11/16 09:51:24 AM
6C:34:91:18:86:48,SurAzul 5.8,Huawei,,17,52,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1733.3,2025/11/16 09:52:56 AM
90:58:51:8C:DB:38,Fibertel WiFi355 5.8GHz*,Vantiva,,8,52,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1733.3,2025/11/16 09:52:56 AM
2A:9E:FC:02:2F:FF,TeleCentro Wifi,Sagemcom Broadband,,8,149,80 MHz,5 GHz,a/n/ac,5,,1733.3,2025/11/16 09:51:54 AM
A8:FF:BA:73:B9:D8,LIDIA WIFI 5.8,Huawei,,6,52,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1733.3,2025/11/16 09:52:56 AM
F2:75:0C:62:19:6E,⁣⁣Hidden Network⁣⁣,TP-Link,,34,4,40 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),300,2025/11/16 09:48:52 AM
C0:C9:E3:A1:F4:7A,Atlanta,TP-Link,,24,8,40 MHz,2.4 GHz,b/g/n/ax,6,WPA2 (PSK),573.5,2025/11/16 09:51:10 AM
F2:C4:78:73:C3:63,Personal Wifi Zone,Huawei,,36,6,20 MHz,2.4 GHz,b/g/n/ax,6,,286.8,2025/11/16 09:48:38 AM
8A:D8:1B:39:8A:5A,⁣⁣Hidden Network⁣⁣,TP-Link,,48,3,40 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),300,2025/11/16 09:51:40 AM
8A:2A:A8:81:F1:97,admin,Ubiquiti Networks,,58,11,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),216.7,2025/11/16 09:50:24 AM
D4:B7:09:DA:53:EE,IPLAN-ROCAN75,ZTE,,30,3,20 MHz,2.4 GHz,b/g/n,4,WPA/WPA2 (PSK),130,2025/11/16 09:52:40 AM
28:9E:FC:02:2E:FC,TeleCentro-2ef7,Sagemcom Broadband,,32,1,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),288.9,2025/11/16 09:48:08 AM
F2:C4:78:B9:0C:C3,Personal Wifi Zone,Huawei,,28,11,20 MHz,2.4 GHz,b/g/n/ax,6,,286.8,2025/11/16 09:48:22 AM
7A:EB:46:74:11:27,Personal Wifi Zone,Huawei,,75,11,20 MHz,2.4 GHz,b/g/n/ax,6,,286.8,2025/11/16 09:48:22 AM
4C:19:5D:D2:BD:DB,Fibertel WiFi000 2.4GHz,Sagemcom Broadband,,48,11,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),288.9,2025/11/16 09:52:56 AM
D4:B7:09:DA:46:70,9 B-5Ghz,ZTE,,3,108,80 MHz,5 GHz,a/n/ac,5,WPA/WPA2 (PSK),1733.3,2025/11/16 09:52:56 AM
F2:C4:78:84:5B:4C,Personal-914,Huawei,,20,6,20 MHz,2.4 GHz,b/g/n/ax,6,WPA2 (PSK),286.8,2025/11/16 09:49:38 AM
7A:EB:46:74:11:27,Personal Wifi Zone,Huawei,,66,6,20 MHz,2.4 GHz,b/g/n/ax,6,,286.8,2025/11/16 09:52:56 AM
7A:EB:46:74:11:24,Personal-669,Huawei,,69,6,20 MHz,2.4 GHz,b/g/n/ax,6,WPA2 (PSK),286.8,2025/11/16 09:52:56 AM
64:85:05:2E:43:B4,Ciori-2.4GHz,ZTE,,32,8,20 MHz,2.4 GHz,b/g/n/ax,6,WPA2 (PSK),286.8,2025/11/16 09:51:54 AM
86:2A:A8:81:F1:97,oficina,Ubiquiti Networks,,53,11,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),216.7,2025/11/16 09:52:56 AM
26:97:45:86:DA:68,Fibertel WiFi345 5.8GHz,Huawei,,6,153,80 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),1201,2025/11/16 09:52:56 AM
10:27:F5:E6:DE:26,deconet,TP-Link,,24,5,40 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),300,2025/11/16 09:50:24 AM
92:2A:A8:81:F1:97,⁣⁣Hidden Network⁣⁣,Ubiquiti Networks,,90,11,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),216.7,2025/11/16 09:50:24 AM
C6:06:C3:D5:FA:92,⁣⁣Hidden Network⁣⁣,TP-Link,,28,7,40 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),300,2025/11/16 09:51:40 AM
64:85:05:5E:43:B5,Ciori-5.8GHz,ZTE,,3,112,80 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),1201,2025/11/16 09:51:24 AM
5C:76:95:4E:B7:48,Fibertel WiFi595 2.4GHz,Vantiva,,44,1,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),216.7,2025/11/16 09:51:10 AM
F2:C4:78:85:2C:17,Personal Wifi Zone,Huawei,,28,11,20 MHz,2.4 GHz,b/g/n/ax,6,,286.8,2025/11/16 09:51:40 AM
F2:C4:78:71:B1:4C,NEGR@ 2.4,Huawei,,6,161,80 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),1201,2025/11/16 09:52:56 AM
B0:FC:36:0A:B8:10,C4F4F7,CyberTAN Technology,,22,6,20 MHz,2.4 GHz,b/g/n,4,WPA/WPA2 (PSK),216.7,2025/11/16 09:52:26 AM
44:3B:14:70:0C:48,MOVISTAR-WIFI6-0C48,MitraStar Technology,,32,6,20 MHz,2.4 GHz,b/g/n/ax,6,WPA2 (PSK),573.5,2025/11/16 09:52:26 AM
56:F6:E2:65:17:80,Personal-7AE,Huawei,,10,157,80 MHz,5 GHz,a/n/ac/ax,6,WPA2/WPA3 (PSK/SAE),1201,2025/11/16 09:52:26 AM
3C:64:CF:C2:52:5F,⁣⁣Hidden Network⁣⁣,TP-Link,,3,36,80 MHz,5 GHz,a/n/ac,5,WPA/WPA2 (PSK),1300,2025/11/16 09:52:40 AM
0C:EF:15:E1:99:2F,Daniela,TP-Link,,3,44,160 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),2402,2025/11/16 09:52:56 AM
26:97:45:86:58:78,graciela wifi,Huawei,,3,161,80 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),1201,2025/11/16 09:52:56 AM
80:2A:A8:81:F1:97,cachapa,Ubiquiti Networks,,58,11,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),216.7,2025/11/16 09:52:56 AM
12:EF:15:E1:99:2F,⁣⁣Hidden Network⁣⁣,TP-Link,,3,44,160 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),2402,2025/11/16 09:52:56 AM
E6:C0:E2:94:3A:03,Personal Wifi Zone,Sagemcom Broadband,,32,1,20 MHz,2.4 GHz,b/g/n,4,,288.9,2025/11/16 09:52:56 AM
B0:FC:36:0A:B8:18,C4F4F7,CyberTAN Technology,,1,56,80 MHz,5 GHz,a/n/ac,5,WPA/WPA2 (PSK),1300,2025/11/16 09:52:56 AM
