,AP,Wifi Name,Signal,Channel,Ch. Width,Standard,MAC Address,Security,Vendor
,,Dun 5,-88 dBm,40,80 MHz,802.11n/a/be,e8:48:b8:36:0d:1f,WPA2-Personal (AES/CCMP),TP-Link Corporation Limited
,2,GL-AXT1800-b7e-5G,-88 dBm,48,80 MHz,802.11n/a/be,26:31:8a:81:7a:ee,WPA2-Personal (AES/CCMP),
,,flia hamui 2,-88 dBm,40,80 MHz,802.11n/a/be,1c:3b:f3:41:de:27,WPA2-Personal (AES/CCMP),"Tp-Link Technologies Co.,Ltd."
,,Fibertel WiFi807 2.4GHz,-88 dBm,60,80 MHz,802.11n/a/be,30:93:bc:bb:25:8a,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,32,<Hidden>,-89 dBm,44,80 MHz,802.11n/a/be,b6:19:21:9a:38:81,WPA2-Personal (AES/CCMP),
,,Personal-914,-89 dBm,60,80 MHz,802.11n/a/be,f2:c4:78:84:5b:50,WPA2-Personal (AES/CCMP),
,2,Newbery1619,-89 dBm,44,80 MHz,802.11n/a/be,b0:19:21:9a:38:81,WPA2-Personal (AES/CCMP),
,3,869 Repetidor,-89 dBm,48,80 MHz,802.11n/a/be,de:62:79:27:9a:43,WPA2-Personal (AES/CCMP),
,2,IPLANLiv-505-5Ghz,-89 dBm,48,80 MHz,802.11n/a/be,d0:59:19:9c:b8:60,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,Fibertel WiFi846 5.8GHz,-89 dBm,60,80 MHz,802.11n/a/be,b0:bb:e5:40:b7:6a,WPA2-Personal (TKIP/AES/CCMP),Sagemcom Broadband SAS
,,Daniela,-89 dBm,44,80 MHz,802.11n/a/be,0c:ef:15:e1:6f:1b,WPA2-Personal (AES/CCMP),
,,SU Red Wi-Fi,-89 dBm,48,80 MHz,802.11n/a/be,de:62:79:87:ca:aa,WPA2-Personal (AES/CCMP),
,,Personal-D62-2.4GHz-5GHz,-89 dBm,153,80 MHz,802.11n/a/be,8c:fd:de:53:72:f1,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,Gonzalez WiFi Mesh,-89 dBm,44,80 MHz,802.11n/a/be,28:ee:52:7f:9c:cf,WPA2-Personal (AES/CCMP),"Tp-Link Technologies Co.,Ltd."
,,YOMHA,-89 dBm,48,80 MHz,802.11n/a/be,7c:f1:7e:24:ef:5f,WPA2-Personal (AES/CCMP),
,,Fibertel WiFi917 5.8GHz,-90 dBm,64,80 MHz,802.11n/a/be,60:14:b3:3a:77:e8,WPA2-Personal (TKIP/AES/CCMP),CyberTAN Technology Inc.
,,Frida,-90 dBm,60,80 MHz,802.11n/a/be,62:3d:29:2d:80:bc,WPA2-Personal (AES/CCMP),
,,Personal-710 5Ghz,-96 dBm,52,80 MHz,802.11n/a/be,10:8f:fe:40:9b:84,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
